id,country_code,name,name_shirt,position,birth_date,year
1,ENG,Aaron Ramsdale,Ramsdale,GOALKEEPER,1998-05-14,2020
2,ENG,Sam Johnstone,Johnstone,GOALKEEPER,1993-03-25,2020
3,ENG,Jack Grealish,Grealish,MIDFIELDER,1995-09-10,2020
4,ENG,Jordan Henderson,Henderson,MIDFIELDER,1990-06-17,2020
5,ENG,Marcus Rashford,Rashford,FORWARD,1997-10-31,2020
6,ENG,Tyrone Mings,Mings,DEFENDER,1993-03-13,2020
7,ENG,Conor Coady,Coady,DEFENDER,1993-02-25,2020
8,ENG,Jadon Sancho,Sancho,MIDFIELDER,2000-03-25,2020
9,ENG,Dominic Calvert-Lewin,Calvert-Lewin,FORWARD,1997-03-16,2020
10,ENG,Reece James,James,DEFENDER,1999-12-08,2020
11,ENG,Bukayo Saka,Saka,FORWARD,2001-09-05,2020
12,ENG,Jude Bellingham,Bellingham,MIDFIELDER,2003-06-29,2020
13,ENG,Jordan Pickford,Pickford,GOALKEEPER,1994-03-07,2020
14,ENG,Kyle Walker,Walker,DEFENDER,1990-05-28,2020
15,ENG,Luke Shaw,Shaw,DEFENDER,1995-07-12,2020
16,ENG,Declan Rice,Rice,MIDFIELDER,1999-01-14,2020
17,ENG,John Stones,Stones,DEFENDER,1994-05-28,2020
18,ENG,Harry Maguire,Maguire,DEFENDER,1993-03-05,2020
19,ENG,Harry Kane,Kane,FORWARD,1993-07-28,2020
20,ENG,Raheem Sterling,Sterling,FORWARD,1994-12-08,2020
21,ENG,Kieran Trippier,Trippier,DEFENDER,1990-09-19,2020
22,ENG,Kalvin Phillips,Phillips,MIDFIELDER,1995-12-02,2020
23,ENG,Mason Mount,Mount,MIDFIELDER,1999-01-10,2020
24,ITA,Manuel Locatelli,Locatelli,MIDFIELDER,1998-01-08,2020
25,ITA,Andrea Belotti,Belotti,FORWARD,1993-12-20,2020
26,ITA,Domenico Berardi,Berardi,FORWARD,1994-08-01,2020
27,ITA,Matteo Pessina,Pessina,MIDFIELDER,1997-04-21,2020
28,ITA,Francesco Acerbi,Acerbi,DEFENDER,1988-02-10,2020
29,ITA,Bryan Cristante,Cristante,MIDFIELDER,1995-03-03,2020
30,ITA,Federico Bernardeschi,Bernardeschi,MIDFIELDER,1994-02-16,2020
31,ITA,Alessandro Bastoni,Bastoni,DEFENDER,1999-04-13,2020
32,ITA,Alessandro Florenzi,Florenzi,DEFENDER,1991-03-11,2020
33,ITA,Rafael Tolói,Tolói,DEFENDER,1990-10-10,2020
34,ITA,Gianluigi Donnarumma,Donnarumma,GOALKEEPER,1999-02-25,2020
35,ITA,Giovanni Di Lorenzo,Di Lorenzo,DEFENDER,1993-08-04,2020
36,ITA,Giorgio Chiellini,Chiellini,DEFENDER,1984-08-14,2020
37,ITA,Marco Verratti,Verratti,MIDFIELDER,1992-11-05,2020
38,ITA,Jorginho,Jorginho,MIDFIELDER,1991-12-20,2020
39,ITA,Lorenzo Insigne,Insigne,FORWARD,1991-06-04,2020
40,ITA,Emerson,Emerson,DEFENDER,1994-08-03,2020
41,ITA,Federico Chiesa,Chiesa,FORWARD,1997-10-25,2020
42,ITA,Ciro Immobile,Immobile,FORWARD,1990-02-20,2020
43,ITA,Nicolò Barella,Barella,MIDFIELDER,1997-02-07,2020
44,ITA,Leonardo Bonucci,Bonucci,DEFENDER,1987-05-01,2020
45,DEN,Jonas Lössl,Lössl,GOALKEEPER,1989-02-01,2020
46,DEN,Frederik Rønnow,Rønnow,GOALKEEPER,1992-08-04,2020
47,DEN,Joachim Andersen,Andersen,DEFENDER,1996-05-31,2020
48,DEN,Robert Skov,Skov,MIDFIELDER,1996-05-20,2020
49,DEN,Andreas Skov Olsen,Skov Olsen,FORWARD,1999-12-29,2020
50,DEN,Mathias Jørgensen,Zanka,DEFENDER,1990-04-23,2020
51,DEN,Christian Nørgaard,Nørgaard,MIDFIELDER,1994-03-10,2020
52,DEN,Daniel Wass,Wass,MIDFIELDER,1989-05-31,2020
53,DEN,Jonas Wind,Wind,FORWARD,1999-02-07,2020
